cluster,hexagon_count,mean_proximity,mean_density,mean_combined,median_combined,rank
1,872,0.14678188793782845,0.4920661538812868,0.3194240209095576,0.27251821582970187,1
0,3788,0.03339698548196397,-0.11327394038661084,-0.039938477452323436,-0.08386446400226291,2
