name,lon,lat,code,fclass,osm_id
هنرستان محمد طاهری,54.38435297628921,31.825847687222286,2082,school,286669784
دانشگاه یزد,54.350166167354104,31.831451027038906,2081,university,623135475
دانشگاه آزاد اسلامی یزد,54.351397847070196,31.839556289459093,2081,university,286691640
پارک آزادگان,54.38129819414571,31.83794801699487,2204,park,286699318
دبستان دخترانه مریم,54.377085,31.8363716,2082,school,286699327
مدرسه بنی فاطمه,54.37490575981901,31.833916079074115,2082,school,286701616
,54.37300244954645,31.833511412425104,2204,park,1359901709
دبیرستان پسرانه جواد الائمه,54.37712546182555,31.832294266907105,2082,school,286701618
,54.38165967485719,31.828839162941225,2204,park,1359901709
پارک کرباسچی,54.37533815661919,31.896543200711438,2204,park,295950165
پارک,54.384758315513324,31.888012798929104,2204,park,295950269
بیمارستان شهدای کارگر تامین اجتماعی,54.39989740387709,31.866914922091286,2110,hospital,295950585
بانک ملی,54.371510935269434,31.89945052032942,2601,bank,295972942
پارک شهید سلطانی,54.35747120015774,31.890223983126933,2204,park,295974567
,54.3577500040719,31.890809925643158,2204,park,1359901709
مجتمع تجاری - تفریحی ستاره یزد,54.356735701325825,31.88629356658899,2505,department_store,295976475
دبستان و راهنمایی رمضانی,54.372154776948435,31.893323856091854,2082,school,296124669
بیمارستان گودرز,54.3761347418123,31.89104957474253,2110,hospital,296124874
درمانگاه جوی هرهر,54.37763782634683,31.89737255399551,2111,clinic,296125139
بیمارستان سید الشهدا یزد,54.376828497648034,31.90802733579608,2110,hospital,296125452
عدالت,54.35633139414865,31.86515297869867,2251,sports_centre,296127201
هتل صفائیه,54.37805950131743,31.839212750206784,2401,hotel,296143833
,54.38190691542147,31.889341437597153,2204,park,1359901709
بوستان هفتم تیر,54.38242510423269,31.858514533116335,2204,park,318055289
پارک ولایت,54.366987462925664,31.827496820986852,2204,park,364427424
,54.369886699999995,31.830008250000002,2204,park,1359901709
دبیرستان دخترانه جوادالائمه,54.368090891651256,31.828761416297553,2082,school,364428063
,54.36737791225045,31.827735999811818,2204,park,1359901709
بینش,54.3702219410884,31.828674270172677,2204,park,364431625
,54.36943899573196,31.830873928171613,2204,park,1359901709
,54.37049044702215,31.827727169104435,2204,park,1359901709
,54.371409482577796,31.830799886121387,2204,park,1359901709
,54.371123767153186,31.831081033204956,2204,park,1359901709
پارک تلاش,54.37488327022296,31.829936755607513,2204,park,364439411
پارک سامان,54.37521610000001,31.8289742,2204,park,364439412
فضای سبز خرد,54.37399066425517,31.832329164320907,2204,park,364439413
,54.36405934280067,31.83252622483835,2204,park,1359901709
,54.365537324287324,31.846936487409224,2204,park,1359901709
پینت‌بال,54.38840190705779,31.8143316887446,2252,pitch,364439818
پارک پهلوان یزدی,54.36741657539982,31.838815779829233,2204,park,364478146
پارک ولی دشتی,54.391716615116955,31.82562682462433,2204,park,364539972
,54.392675312637486,31.845015816310866,2204,park,1359901709
دبستان دخترانه جواد الائمه,54.37192962701794,31.829465631967377,2082,school,364560102
,54.33404328916,31.85232852117003,2204,park,1359901709
,54.33200603246476,31.850780732514135,2204,park,1359901709
پارک راه آهن,54.345489304460784,31.86590498445835,2204,park,364562154
زمین فوتبال راه آهن,54.3527854,31.86322995,2252,pitch,364562155
سلف سرویس آفتاب دانشگاه یزد,54.356038845603194,31.832774967129534,2301,restaurant,364570417
سالن ورزشی غدیر دانشگاه یزد,54.34855633304289,31.8346549442729,2251,sports_centre,364570432
سالن ورزشی کوثر دانشگاه یزد,54.348232890011616,31.83841005557782,2251,sports_centre,364570441
سالن ورزشی امام علی دانشگاه یزد,54.35321538388693,31.831880646466022,2251,sports_centre,364570449
استخر سرپوشیده دانشگاه یزد,54.352434550000005,31.8329523,2253,swimming_pool,364570452
مهمانسرا شماره دو دانشگاه یزد,54.36127943662432,31.838157480642533,2404,guesthouse,364570869
درمانگاه شبانه روزی دانشگاه یزد,54.35944102831194,31.839619793501818,2111,clinic,364570857
مهمانسرا شماره دو دانشگاه یزد,54.36098340000001,31.838934649999995,2404,guesthouse,364570869
بانک تجارت,54.36238512188931,31.83637354776624,2601,bank,364572658
سیتی سنتر,54.36673339068286,31.83122257569761,2504,mall,364573056
بوستان پرستار,54.36711513974428,31.846986510300944,2204,park,364573882
,54.367816999999995,31.845751700000005,2204,park,1359901709
دانشکده کشاورزی ملاصدرا,54.364381052170636,31.830711954146434,2084,college,364582012
بیمارستان خصوصی شاه ولی,54.34950037847337,31.841233231200103,2110,hospital,364583119
,54.34909495000001,31.8392561,2204,park,1359901709
دانشکده پزشکی علی ابن ابیطالب(ع),54.35284233710269,31.840097045393378,2084,college,364583137
ساختمان ولی عصر دانشگاه آزاد,54.35114310659878,31.837385807998675,2084,college,364583145
مجتمع تجاری آریا,54.37935855799994,31.831010545709823,2504,mall,364583824
استخر کاج,54.382815040619285,31.829341308222098,2253,swimming_pool,364583825
پارک مهرآوران,54.35311889100454,31.817000955986547,2204,park,364583827
امام علی,54.35782103626302,31.86379441163264,2007,library,364700060
,54.31309804150948,31.83324864369172,2204,park,1359901709
,54.36343199999999,31.890305699999995,2204,park,1359901709
بوستان شهدا حسن آبادمشیر,54.39800173762885,31.898995306141217,2204,park,364837179
,54.38567515,31.917507050000005,2204,park,1359901709
,54.37510315615308,31.870239793229658,2204,park,1359901709
ورزشگاه شهید پاکنژاد یزد,54.361257707599364,31.880235183551218,2252,pitch,364838872
,54.370104805099054,31.83754724151735,2204,park,1359901709
دبستان هشتم شهریور,54.371368168703306,31.83686566387599,2082,school,364840110
مرکز خرید تک,54.377756100000006,31.8317002,2504,mall,365005222
تک,54.37721416884263,31.831566752023893,2203,cinema,365005223
